content,platform,time
更新之后，打开一会儿就崩溃了。更新之后会崩溃,AppStore,2017-01-0414:22:48
一点都不好，有时候打不开,vivo应用商店,2017-11-1418:25:36
越更越垃圾了，广告变多了，1块钱白花了？越更越垃圾了，广告变多了，1块钱白花了？,AppStore,2017-06-1311:39:06
**玩意有毛病的,vivo应用商店,2017-12-0712:29:37
不好，内容质量差。。。。,豌豆荚,2017-10-2111:54:04
头条越来越不要脸pro也开始玩广告，欺骗消费者，祝你们早点倒闭,AppStore,2017-06-1317:43:39
太费电了，都不好用了太费电了，都不好用了，不敢用了,AppStore,2017-10-0807:52:50
头条广告多，头条视频也看不了，太差了，一星都不想给,小米应用商店,2017-12-3116:10:00
一点也不好,豌豆荚,2017-10-2308:23:10
不尊重版权的无良媒体,豌豆荚,2017-10-2211:15:02
下的不快,豌豆荚,2017-10-2222:08:49
好像崩溃了,vivo应用商店,2017-12-1919:43:26
服务器崩溃了吗,小米应用商店,2017-12-1918:17:53
头条怎么崩溃了头条怎么崩溃了,AppStore,2017-01-0610:47:29
内容质量差！差！差！！！,豌豆荚,2017-10-2213:22:50
没用处。,豌豆荚,2017-10-2022:17:45
垃圾货。我付了钱为什么还要有广告。内容质量差垃圾货。我付了钱为什么还要有广告，内容质量越来越差了。祝早日下架关门。,AppStore,2017-06-1309:35:54
我的也看不了评论了，怎么回事,vivo应用商店,2017-12-1918:51:05
为什么看不了评论,豌豆荚,2017-10-1311:03:01
为什么今日头条的视频都看不了,小米应用商店,2017-12-3118:57:55
为啥我的看不了视频,vivo应用商店,2018-01-0522:35:43
突然看不了评论了,小米应用商店,2017-12-1918:48:35
头条今天怎么了，看不了评论,小米应用商店,2017-12-1919:30:15
视频都看不了。。。留你何用,小米应用商店,2017-12-2000:27:13
看视频都看不了,小米应用商店,2017-12-2000:33:06
看不了评论了,小米应用商店,2017-12-1918:52:11
看不了评论,小米应用商店,2017-12-1919:19:36
今天看不了评论为啥啊！,vivo应用商店,2017-12-1918:56:07
视频看不了这次更新后视频一直看不了，难道就我有这种情况？,AppStore,2017-02-2806:43:13
闪退更新后一直闪退，简直看不了，怎么回事？,AppStore,2017-01-0612:26:29
新版本更新后视频看不了，千万别更新新版本更新后视频看不了，千万别更新！新版本更新后视频看不了，千万别更新！新版本更新后视频看不了，千万别更新！新版本更新后视频看不了，千万别更新！新版本更新后视频看不了，千万别更新！新版本更新后视频看不了，千万别更新！,AppStore,2017-01-0715:10:52
我去,vivo应用商店,2017-12-0523:00:57
垃圾，看视频闪退，试了多少次都不行,小米应用商店,2017-12-2000:06:11
今天什么情况真恶心，添加频道都不行,vivo应用商店,2017-11-2318:58:58
今日头条刚有点人气就这么牛掰了！想上传一个视频都不行必须给钱才行！原来还有这种潜规则！垃圾垃圾垃圾垃圾垃圾,应用宝,2017-10-2823:56:42
好垃圾啊，每次评论都有转发到微博，麻烦死了垃圾版本，用了头条这么久，这个版本最垃圾了,AppStore,2017-09-0315:38:29
我去你大爷的,小米应用商店,2017-12-2918:28:41
闪退更新了之后闪退太差劲了,AppStore,2017-01-0612:38:41
现在全特么是自媒体，天天发些没用的辣鸡，屁大点无聊的事也要发条新闻，真是越来越辣鸡,小米应用商店,2017-11-0503:28:58
你妹的，刚下载就让更新，坑爹的玩意儿,应用宝,2017-11-1005:20:29
还不如不更新来越更新越差一点不好用了,豌豆荚,2017-10-2305:21:27
这几天新闻内容二级链接打不开，帐号收藏等也一样，卸载重新安装连帐号也连不上了。,360手机助手,2017-12-0817:02:58
怎么打不开视频,vivo应用商店,2017-12-1923:58:27
打不开,vivo应用商店,2017-10-2014:18:48
更新后打都打不开。什么情况！换软件了。,AppStore,2017-09-1821:28:56
什么鸟，打不开。页面打不开，始终显示网络连接不上。,AppStore,2017-02-2801:38:47
更新后打不开自动更新后总停留在等待中，打不开,AppStore,2017-01-1222:35:09
各种删回复删评论新闻评论各种删回复删评论，只让叫好，不让说差，粉饰太平误导视听，没有社会责任感的辣鸡平台,AppStore,2017-03-0609:49:36
**软件，好不容易过的新手期无缘无故封我的号。问客服也不理，店大欺客，祝你们早日倒闭。,vivo应用商店,2017-12-1517:12:36
今天更新完系统就不能播放视频就会卡住5s另外一台六没事。,小米应用商店,2017-12-2000:22:36
有错别字啊有错字,AppStore,2017-01-3003:19:39
我只是想来看看关于侵权的事，然而评论区一片叫好。,豌豆荚,2017-10-2207:17:41
闪退越更新越差，动不动就黑屏，要重新打开才行,AppStore,2017-11-0310:15:41
辣鸡！动不动就闪退,360手机助手,2017-12-1008:55:15
闪退越更新越差，动不动就黑屏，要重新打开才行,AppStore,2017-11-0310:15:41
超垃圾！太他喵的垃圾了，有那么多广告就算了，文章打不开，天天看广告，1元已喂狗！,AppStore,2017-06-0817:37:48
每次只能刷新4条新闻除了没有广告，每次刷新只能刷新出4条吧，翻一下就到刚才看的了，很烦。,AppStore,2017-12-1115:12:38
每次只能刷新4条新闻除了没有广告，每次刷新只能刷新出4条吧，翻一下就到刚才看的了，很烦。,AppStore,2017-12-1115:12:38
不想多说什么,小米应用商店,2017-12-1420:08:22
AZ539，我被人坑了，你们别被坑了，这个只能复活一次，好惨,小米应用商店,2018-01-0621:29:21
更新打不开了，稀烂，垃圾更新后打不开了，垃圾,AppStore,2017-01-0611:11:09
越来越差微博账号无法登录了，还我收藏来,AppStore,2017-09-1723:48:32
好气啊，我还以为我的出毛病了，我安装了四五次,vivo应用商店,2017-12-1919:32:34
太失望了和普通版的没啥区别，虽然一元不多，但是太伤人了，极度差评,AppStore,2017-11-0121:31:57
太失望了和普通版的没啥区别，虽然一元不多，但是太伤人了，极度差评,AppStore,2017-11-0121:31:57
最低只能给一颗心啊开始有广告了，这是收费版啊，居然有广告了,AppStore,2017-06-3021:19:13
辣鸡辣鸡广告又出来了几个意思，看到的都别买,AppStore,2017-11-2423:40:21
辣鸡辣鸡广告又出来了几个意思，看到的都别买,AppStore,2017-11-2423:40:21
作死呀!可惜,豌豆荚,2017-10-2213:12:03
太差劲,豌豆荚,2017-10-2212:40:01
一点都不好用，内容少，真不明白为什么这么多用，还是换回网易新闻。,豌豆荚,2017-10-2222:14:13
安不了怎么办？,豌豆荚,2017-10-2008:08:00
今日头条已经变成大垃圾站一星都不想给，今日头条现在已经沦落成新闻大垃圾站，各种不负责任的小野报，头条号、标题党、鬼故事轮番上阵。看它简直是浪费时间，浪费生命！,AppStore,2017-11-2600:12:06
今日头条已经变成大垃圾站一星都不想给，今日头条现在已经沦落成新闻大垃圾站，各种不负责任的小野报，头条号、标题党、鬼故事轮番上阵。看它简直是浪费时间，浪费生命！,AppStore,2017-11-2600:12:06
新闻质量不行,豌豆荚,2017-10-2222:33:49
太多段子过于低俗段子有性暗示没关系，但是不要那么低俗没品味吧,AppStore,2017-01-0818:38:32
今天头条是不是有病啊,小米应用商店,2017-12-2920:58:20
超垃圾！有那么多广告就算了，文章打不开，天天看广告，1元已喂狗！,AppStore,2017-06-0508:45:07
评论都发不了退出账号还退不了,vivo应用商店,2017-12-1918:14:21
更新后卡死了更新后卡死了，图片视频都加载不出来,AppStore,2017-09-1915:32:51
更新以后卡死了更新以后卡死了,AppStore,2017-09-0716:15:30
什么鬼，联网不上了搞什么鬼，普通版也连不上了,AppStore,2017-01-0611:06:23
真的垃圾软件，自己天天喊着原创原创其实百分之八十多是抄袭的，注册个头条号好不容易过新手期做了好几天有收益了，他妈的封我的号，问客服也不理我垃圾软件祝你早日倒闭。,应用宝,2017-12-1517:09:18
口水文多的爆啊全是标题党，内容也太过低俗，无用！还有你们的安卓版，更是糟糕，广告就直接嵌入到文章中，你们是穷疯了嘛！,AppStore,2017-12-1709:51:01
口水文多的爆啊全是标题党，内容也太过低俗，无用！还有你们的安卓版，更是糟糕，广告就直接嵌入到文章中，你们是穷疯了嘛！,AppStore,2017-12-1709:51:01
文章水平太差了！,豌豆荚,2017-10-2222:07:02
太差了~_~,豌豆荚,2017-10-2211:22:01
越来越垃圾，广告越来越多，视频也发不了了,小米应用商店,2017-10-2423:19:30
今日头条已经变成大垃圾站今日头条现在已经沦落成大新闻垃圾站，各种不负责任的小野报，头条号、标题党、鬼故事轮番上阵。看它简直是浪费时间，浪费生命！,AppStore,2017-10-1523:15:29
今日头条已经变成大垃圾站今日头条现在已经沦落成大新闻垃圾站，各种不负责任的小野报，头条号、标题党、鬼故事轮番上阵。看它简直是浪费时间，浪费生命！,AppStore,2017-10-1523:15:29
重复的新闻太多，有点厌烦了。PS:怎么在这评论的都是vivo手机？,vivo应用商店,2017-11-1900:04:38
垃圾，全是喷子,小米应用商店,2017-12-0123:24:58
更新之后广告太多了有点垃圾,豌豆荚,2017-10-2023:57:47
广告太多了打开每个新闻都有广告，除了封面没有，和免费版有什么区别？大家千万不要买，看看评分就知道了,AppStore,2017-06-1308:59:53
广告太多！垃圾！广告太多！垃圾！,AppStore,2017-04-2914:05:18
看不了评论，卸载了重新下载，然后就根本登登不上去了,vivo应用商店,2017-12-1918:52:55
ipad版体验太差了iPad版体验太差了，望尽快优化,AppStore,2017-05-1611:20:40
这个版本太差了？为什么升了这个版本出现上滑不跟手，迟钝，闪屏，GIF播放闪退？,AppStore,2017-04-0809:32:15
广告pro版本当初花钱买的时候不是说没广告的嘛。。。怎么现在文章结尾还有广告。不诚信,AppStore,2017-06-1309:40:28
垃圾，标题党越来越多，无良小编越来越多，凑字数，骗稿费的作者越来越多，这个app快完蛋了,小米应用商店,2017-11-0807:46:22
挑战不可能,豌豆荚,2017-10-2217:07:23
广告太多了千万别买！！全是广告！,AppStore,2017-06-1614:20:42
喷子越来越多，真是什么智商的人都有，看着心烦,小米应用商店,2017-12-2618:03:34
垃圾头条，把社会频道取消了，还是新闻应用吗，弄个狗屁问答，各种黑，各种舔，各种审核不同过，垃圾头条，不敢当人民的发声器，要你何用，死了吧,小米应用商店,2018-01-0518:17:41
评论加载不出，以为坏了，卸载重下，现在倒好，登不上去了,vivo应用商店,2017-12-1918:52:53
感觉不对了,小米应用商店,2018-01-0523:54:50
闪退闪退比版本闪退，根本都用不了。,AppStore,2017-01-0414:08:11
广告太多！大多骗人的广告,应用宝,2018-01-0709:44:29
新版本不好用，好多功能都用不了了的。用旧版的。,豌豆荚,2017-10-2009:06:28
越更新越不好用！开发部门都是**的？,vivo应用商店,2017-12-1510:37:56
越更新越不好用,豌豆荚,2017-10-2715:41:40
视频变大不好用,小米应用商店,2017-11-2516:36:35
不好用，占内存，还删不掉,豌豆荚,2017-10-2017:04:02
不好用！不好用！不好用！,豌豆荚,2017-10-2215:04:28
不好用,豌豆荚,2017-10-2112:45:23
麻痹，更新了以后有广告，好垃圾。钱白花了。麻痹，更新了以后有广告，好垃圾。钱白花了。,AppStore,2017-05-1008:05:09
头条怎么了，显示空白,vivo应用商店,2017-12-2920:39:20
头条怎么了，我重新下载后，显示服务器维修中,vivo应用商店,2017-12-1918:54:23
是啊，应该是系统出问题了,小米应用商店,2017-12-2918:30:15
出问题了,小米应用商店,2017-12-2920:40:09
bug太多，看不到发不了评论,小米应用商店,2017-12-1923:59:01
垃圾和uc有的一拼，纯纯的标题党！有些视频太重口味,豌豆荚,2017-10-1916:48:51
广告太多垃圾，广告太多，既然是付费的就应该做的好一点,AppStore,2017-07-0920:45:53
头条崩溃了？？？没有评论的头条还是头条吗？查不到任何信息，只能卸了重新安装，发现没作用，网站被黑了还是被攻击了？？？？,vivo应用商店,2017-12-1919:40:37
广告太多，界面一点都不好看,豌豆荚,2017-10-2222:32:03
越来越不好现在不支持微博号了。,AppStore,2017-12-3017:04:31
越来越不好现在不支持微博号了。,AppStore,2017-12-3017:04:31
我以为是我手机坏了原来大家手机都坏了,vivo应用商店,2017-12-1918:50:39
垃圾也不知道老板看不看评论，马勒戈壁的,AppStore,2017-06-1615:52:07
为什么进不去了,豌豆荚,2017-12-2308:12:31
